,리뷰,평점
744,"총 쏘고 죽이고 하는 뻔한 전쟁영화 보고싶으시면 안보는게 좋습니다. 근데 이 영화는 그 흔한 전쟁 장면도 없지만 전쟁을 그대로 표현했습니다. 그 긴시간을 원샷으로 보이게 만든 연출과 배우들의 연기력, 음향 등 모든것...",10
745,좋은 작품이지만 개봉 시기 운이 안좋았네..관객수가 60만명 밖에 안된다니,9
746,"이제 20세기 전쟁영화 마스터피스는 라이언일병구하기, 21세기 전쟁영화 마스터피스는 1917로 정의됨",10
747,아슬아슬해서 아름다운 세상,9
748,스코필드가 물에서 나와 숲속으로 향할때 판타지스러운 분위기와 노랫소리는 이영화의 최고의 명장면이다. 그 뒤로 이어지는 병사들의 돌격 속의 스코필드의 달리기는 노래 가사와 맥이 같기에 잊을수 없는 시퀀스다.,8
749,어제 아이맥스로 봤는데 나를 포함 딱 9명이 봤음 조용하고 너무 좋았음 사람 많은건 딱 질색,8
750,참 - 잘 만들었다영화역사에  길이 남을 것이다기생충보다 더 낫다,10
751,지린다 지려 그냥....,10
752,내가 한국인이 아니었다면 기생충 작품상에 돌을 던졌을것.,10
753,이거 관객수 왜이래 진짜??,10
754,기절한 후 깨어나 창밖을 바라보며 조명탄이 비치는 장면은 황홀하기 까지 하였다.,10
755,별로..이게 뭔 9점이 넘냐,1
756,"처음엔 둘이 쉬고, 마지막엔 혼자 쉬는구나. 1917 아름다운 자연 속에서.",10
757,"인간이 그동안 저지른 무수히 많은 미칫짓들 중, 최고는 단연 전쟁이다.",9
758,NG없이 한번에 간느낌?주인공과 함께 가는듯한 느낌을받앗습니다.,10
759,대단한  작품이네요.  진정으로  작품상 받을  영화입니다,10
760,덩케르크를 좋아한 사람이면 좋아할 영화. 난 안 좋아했다. 그래도 긴장감은 인정.,8
761,관객도 같이 뛰게 하는 경이로운 영화였습니다,10
762,I was there.,10
763,죽으면 깜짝놀라기만 하는 영화,1
764,최고다.... 오랜만에 명작...,10
765,,10
766,이유는 모르지만 영화가 끝나고 피로감이 몰려올 정도로숨이 막힘,10
767,,8
768,,10
769,"코로나 여파로 그 큰 상영관 안에 나밖에 없어 스산했지만, 영화를 보다 문득 내가 저 처참한 참호속에 있지 않음에 감사할만큼 현실감 있는 영화였네요..",10
770,연출 개쩐다를 넘어서 경이로울 지경 인생영화각,10
771,호불호 있어요. 저는 너무 별로 였어요.모지? !,2
772,또 볼거에요 추천,10
773,코로나19로 인해 관객이 적은 것이 아까울 정도로 영상미와 연출이 훌륭합니다. 일반적인 전쟁영화와는 다르게 잔잔하게 감동과 슬픔을 끌어내는게 인상적이었습니다.,10
774,,10
775,"나 알바아님. 와 이건 보는 내내 진짜 어떻게 찍었지?하면서 봄ㅋㅋ 막 엄청나게 스토리가 서스펙트하고 감동있고반전있고 그런건 없는데, 걍 ""어떻게 찍었지?"" 하다보면 끝남",9
776,제 1차세계대전과 '레버넌트'에 조합,9
777,"한국에서 맨날 정석에 따라 범죄, 코미디, 재난 장르의 질릴대로 질린 양산형 영화에 질렸다면 충분히 볼 가치가 있는 영화, 사실 영화 존재가치도 당연히 쓰레기같은 한국 양산형 영화하고는 비교도 안된다. 맨날 역대급 ...",10
778,어우 내가 진짜 전쟁하는줄 알았네 숨막혀디짐,9
779,몰입도 최강! 이런영화는 정말 돈이 아깝지않다,10
780,극장에서 두번봤어요.. 연출과 영상미 오에스티에 감동먹고 온몸이 찌릿했습니다.!!,10
781,,10
782,좋은영화네요. 잘봤습니다.,10
783,영화 팬으로써 촬영기법을 보는것만으로 카타르시스를 느낄수있음,10
784,촬영 하나 만큼은 기가 막히게 최고다,8
785,"아이맥스 화면, 롱테이크, 배우들의 연기에 압도된다. 그렇다고 영상미만 좋은 영화는 아니다. 전쟁과 사람에 대해 깊게 생각할 수 있는 영화",10
786,지옥의 강을 건너는거 조차 신의 섭리임을. 샘멘데스 필생의 역작. 지옥의 묵시록을 보여주는 영상미. 라이언 일병 구하기 버금가는 또다른 미션 컴플리트. '기생충'에는 재치와 위트는 있지만 이 영화같은 ...,9
787,많은 시련에 뒤따르는 힘든 현실의 무게를 견디며 앞으로 나아가는 주인공을 지켜보며 두려움을 극복할 용기를 얻는다,10
788,기생충이  개거품이란걸  이영활보면서  느낌,10
789,,10
790,"전쟁영화 정말 싫어하고 편견있는데... 심지어 내 타입의 영화, 배우도 감독도 아녔다고 깔고 봤는데도 보는내내 와.. 울고, 같이 막 답답하고 안타깝고 서럽고.... 간만에 이렇게 감정이입한 영화도 오랜만인듯",10
791,만약 아카데미 작품상을 기생충이 아니라 1917이 받았다면 분노하지 않고 순순히 수긍했을것이다.,10
792,재밌어요 연기도 잘하고 보는 맛이 잏어요,10
793,덩케르크에 이은 좋은 작품,10
794,조지 맥케이가 점점 잘생겨보임,10
795,보는 내내 심장 쫄려 죽을뻔 했다..마지막에 주인공 뛸때 눈물쭈륵,10
796,전쟁이란.. 너무 참혹하다,8
797,,8
798,콜오브듀티: 1차세계대전,7
799,기생충이 이긴 이유는 단 하나 스토리,1
800,조지 맥케이의 시점으로 시작하여 조지 맥케이의 시점으로 끝나는 대여정. 단 한순간도 시간의 끊김이 없기때문에 단 한순간도 놓칠수 없는 작품!,10
801,진짜 카메라..짱.내가 본 전쟁 영화 중 제일 사실적이고 현실처럼 다가옴.전쟁에 대해 생각하고 생각하고 또 생각하게 됨.,10
802,이게 영화냐? 난 내 인생에 적어도 2시간은 1917년도를 살았다,10
803,쓰레기같은 한국 영화에 단비를 내려주는 영화였음.,10
804,,10
805,"영화에서 전쟁의 실상을 담담하게 보여줄 수 있도록 치밀하게 계산한 감독의 노력이 보입니다. 엄청난 드라마가 있는 것은 아니고 당시 전쟁터에서 누구나 겪었을 전쟁에 대한 비현실감과 죽음에 대한 공포, 그러면서도 임무를...",10
806,기생충보다 재밌었음.,10
807,영화가 끝나고 미쳤다는 말 밖에 떠오르지 않았다. 전쟁영화의 거의 혁명적. 원테이크를 연상하게 하는 촬영과 긴장감을 최고조로 이끄는 음악. 그냥 감탄의 연속이였다.,10
808,시체가 즐비한 전장과 화약냄새가 풍기는것같은 사실성이 뛰어난 전쟁 영화는 꾸준히 나와왔다 전쟁영화에서 그 이상의 무언가를 보여줄수는 없는것일까? 롱테이크라는 촬영은 영화의 대단함은 보여주었지만 영화의 신선한 느낌은 ...,8
809,역시 로저 디킨스 형님이시다ㄷㄷ,10
810,진짜 실제 전쟁터에 있는것 처럼 쫄깃쫄깃 했습니다.다만 같이간 직장동료가 넘 허무하게 죽어서 ^^;;,10
811,,10
812,,9
813,"보는 내내 전신이 오싹하면서, 송골이 묘연해지는 영화.내가 전쟁터의 병사로 싸우는 듯한, 현실감을 재연해주는 그런 영화.전쟁영화에 대한 별 감흥이 없었지만, 보면서 롱테이크를 통해서 영화에 완전 몰입할 수 있게 끔 ...",10
814,"명령을 받고 전언을 전하러 가는 군인의 모습, 전쟁의 처참함이 리얼하게 담긴 영화였어요. 듣던대로 뛰어난 촬영 기법 덕분에 더 깊게 몰입해볼 수 있었네요. 비록 짧게 등장하지만, 명배우들의 모습을 보는 즐거움도 있었...",8
815,최고였어요,10
816,내가 본 전쟁영화 중 단연 최고라 할 수 있다그저 총만 쏴대고 그 안에서 모든 걸 보여주려고 하는 전쟁영화와는 차원이 다르다 그저 그 하루에 두 주인공이 겪는 일 죽음 또 전쟁이 사람들에게 무엇을 빼앗아가며 적군이라...,10
817,영화보면서ㅜ 불가항력으로 호들갑을 떠는 나는 또 호들갑을 떨었다.,10
818,찬실이는 복도많지 볼려고 갔다 상영시간이 안맞아 이거 봤는데..오~ 대박..명작이다.,10
819,,10
820,독일군에게서 도망치는 장면은 롱테이크연출때문인지 관객을 쉴 틈 없이 긴장시키고 숨죽이게 만듬. 마지막 장면으로 가슴을 벅차게 만드는 최고의 영화. 맨날 가벼운 영화만 보다가 이런걸 보니 감동과 여운이 쉽게 가시지 않...,10
821,전쟁 영화로 두고두고 회자될 작품이다. 1차 세계대전의 서부전선에 직접 와있는것같은 느낌과 전쟁의 먹먹함을 고스란히 느낄수있는 대단한작품.,10
822,히트맨.럭키 이딴 수준낮은 영화 좋아하는 개돼지들한테 너무 수준높은 영화다,10
823,보라고 좀,10
824,,10
825,"평점 왜이렇게 높아요?근 10년간 영화관에서 이렇게 답답하고 중간 일어나고픈 영화 처음이예요.아무리 1인칭 시점이고 롱테이크 기법에 전쟁 상황이라지만 한시간, 영화의 반을 전보명령을 두명 일병 이야기로 채우고 마지막...",2
826,롱테이크 연출과 카메라 워킹은 훌륭했지만 그런 연출이 120분간 계속 이어지면서 뒤로 갈수록 지루해지고 몰입도가 떨어졌다. 특히 훌륭한 연출에 가려진 뻔하디 뻔한 스토리라인 때문에 더 그랬다. 평범한 플롯으로 채워진...,7
827,2시간 순삭.. 영화 몰입갑 최고입니다. 코로나 때문에 6명이서 영화봐서 집중 더 잘됐네요.,10
828,기생충제작진 가족새기들 마니보니이네,10
829,아우 졸려 하품만 하다가 뭔가 나올까 싶으면 안 나오고 시원하게 긁어주는게 하나도 없둠 돈아깝다,1
830,마지막 장면에서 울었다,10
831,어벤져스에서 쥐가 영웅 이라면 여기서는 쓰레기 생물체 이다... 내가 너 때문에 얼마나 놀랐는데ㅠㅠ,10
832,"광명롯시] 나름 연출과 사실감은 인상적 이었지만 전반적으로는 재미없었다. 전장을 배경으로, 목표까지 이동하는 오래된1960년대 어드벤처 영화같은 느낌이었다. 또, 크리스토퍼 놀란 감독의 전쟁 영화 '덩케르크&...",6
833,극장에서 나 혼자 보는데 같이 뛰고 숙이고 차 밀고 다 했다 마지막은 정말 압권,10
834,컴팩트하고 경이로운 카메라를 따라가다 보면 숨막히고 놀라운 장면들이 찾아온다,10
835,"연기를 잘한 것도 잘한거지만, 진짜 고생했겠다. 그래서 진짜 실감났다",10
836,,10
837,,10
838,연출 영상미는 진짜 좋았다고 본다하지만 스토리는 너무 뻔하고 지루하다.주로 영화를 볼때 스토리를 많이 중요시 하는편이라 수작임에도 대작의 느낌까지는 안든다.,7
839,"내 자신이 주인공 옆을 계속 따라다니며 관찰하는 듯한 생생한 현장감은 잘 살렸지만, 스토리와 감동은 약한 편.",8
840,두돈반은 100년전에도 똑같구나라이언 일병 구하기와 쌍벽을 이룰 전쟁영화,10
841,아이맥스로 본 것 절대 후회하지 않는다. 당시에는 감명 받지 못했는데 시간이 지나면 지날수록 그 장면이 아른거린다. 주인공이 강 위에서 떠다닐 때 꽃잎이 흩날리던 그 장면에서 전쟁 중이지만 소름끼치게 고요했고 죽은 ...,8
842,롱테이크  촬영은  역대급임  1917로  시간여행 다녀올만큼  몰입감  공간감을 느끼고옴,10
843,새벽에 봣는데도 그 여운이 오래가세요,10
844,하아... 남주 연기 너무 잘하고.. 그냥 갓갓쩖..,9
845,"미국 리뷰어들이 겁나 재밌다고 해서 봤는데 무엇보다도 신선해요, 윈테이크 기술도 신기하고 진짜 열심히 찍은 티가 나요... 근데 솔직히 저예산 영화 느낌이 살짝 있어요",9
846,일반적인  전쟁영화 아니예요감동도있고 스릴도있어서 긴장감이 계속 느껴져서 좋았어요오랜만에 좋은영화를 봤네요~~^^ 마지막 장면이 감동입니다,9
847,오스카 촬영 음향상을 받은 이유가 무조건 납득이됨.꼭 IMAX로 보세요.,10
848,,10
849,,10
850,볼만하다 반전을 기대했는데 아쉽지만 잘만들어진 영화,8
851,,10
852,,10
853,최악의 지루함....,2
854,전지적 시점의 전쟁 덩케르트 개인의 경험으로써의 전쟁 1917 지나치게 허무하다고 느껴지는 결말은 전쟁이 바로 이런 것이었음을,9
855,woalTdma,8
856,몰입감 최고였어요 오랜만에 다른 생각 하지않고 온전히 집중해서 본 영화였습니다,9
857,영화관에서 꼭 봤음 하는 영화,10
858,엄청난 인내심을  요하는 영화,1
859,기생충이 이걸 이겼다고??,10
860,지독하게 운 좋은 한 남자의 참전 이야기. 전쟁은 모든 것을 빼앗아가지만 그럼에도 불구하고 삶은 계속된다. 살아있는 한.,7
861,댓글알바 좀 그만 씁시다.지루해 죽는줄 알았네,2
862,영화배우 정우 닮은 병사의 의지와 절실함에 응원하며 봤다.,9
863,울음을 가슴으로 삼켰다.,10
864,,10
865,VR이 필요치않은 영화. 이미 나는 거기에 있다.,10
866,롱테이크 촬영 기법은 정말 새로웠습니다. 영화 속으로 빨려가는 기분이었습니다,10
867,몰입도가 좀 떨어졌지만 걍 볼만했던거 같다 요즘 재미있는 영화가 너무 개봉안함,7
868,"무슨 영화를, 편집없이 찍은거같앵! 테이크 최고길다잉! 짱짱",10
869,주인공 스코필드는 삶을 통해 무엇이 중요한지 보여주는 영화다 더 많은 병사들의 희생을 막기위한 그의 질주는 아무도 막을 수 없었다 스코필드는 전쟁터에서 목마름을 해결하기 위해 훈장과 와인을 바꾸고 전쟁속 아이를 위해...,10
870,"2시간 내내 온몸이 긴장하게 되는, 잘 만들어진 좋은 영화였다",10
871,보는 것을 넘어서 <그래비티>처럼 '체험'하는 영화.,8
872,올해 최고의 전쟁 영화가 아닐까 조심스레 생각해본다.한시도 눈을 다른 곳에 못 가게 만든다 전쟁의 참혹함을 잘 알 수 있었다.,9
873,이 영화는 영화관에서 봐야함!!,8
874,진심 재밌음?? 스토리는 엄청 평범하고 그냥 영살미로 보는 영화잖아,1
875,,10
876,코로나사태가 안타까울 정도..꼭 극장에서 봐야하는 영화..,10
877,처음부터 끝까지 눈을 뗄 수 없군,10
878,,10
879,,10
880,영화의 위대함을 다시 한번 느낀다. 그나저나 주연배우 조지 맥케이는 배우가아니라 특전사를 대려온게아닌가 착각을 일으킬정도..,9
881,,9
882,,10
883,,10
884,배우들과 내내 함께하는 느낌. 내가 계속 따라가며 관찰하는 것 같았음.같은 듯 다른 첫 장면과 마지막 장면이 인상적인 영화,8
885,이게 왜 기생충한테 밀린지 나는 알꺼같다 롱테이크샷으로 이런 연출 연기 영상미까지 완벽하지만 스토리는 그냥 평범한 전쟁영화이다 그냥 한시대의 전쟁일화일뿐 전혀 특출난게없었다 어줍잖은 영화지식으로 해외에서나 그들의 역...,1
886,포격사이로 힘차게 뛰는 장면에서 플래툰이 떠올랐다. 나는 1917이 작품상같다~!,10
887,바로옆에서 자신들이 몰살당하게 될지도 모르고 돌격하는 전우들을 살리기위해.. 홀로 엇갈린 방향으로 전력을 다해 뛰는 모습이 참.. 여운이 많이남는다....,10
888,마지막 뛰어갈때 빼고는 명작 작품상받아도 딱히 뭐라 못할만한 영화,10
889,"진짜 이 영화는 최고입니다. 연출, 연기, 스토리, 영상미 모든 것이 최고였으며 특히 초반부 롱테이크샷이라던가 영화 내내 진행되는 원 컨티뉴어스 숏 촬영 기법은 마치 그 장소에서 제3의 일병이 되어 여정을 같이 떠나...",10
890,주인공의 시점을 롱테이크로 계속해서 이어주니 현장감과 긴장감이 매우 실감나며 전쟁의 참상과 허무함을 보여주는 전개 역시 좋았다,9
891,원테이크 개쩐다...,8
892,그때 당시의 전쟁의 지옥같은 참상을 제대로 알게 해주는 영화였습니다. 오늘날에 태어난 걸 감사하게 여깁니다. 재밌었습니다.,10
893,주연배우 목숨걸고 영화 찍었네요.스텝 배우들 모두 열연한 영화입니다. 강추!,10
894,엄청난 집요함,8
895,,10
896,버드맨의 충격이 1917로 돌아왔다. 친구의 허무(?)한 죽음이 약간 옥의티(?)라고 할수 있다.,9
897,"전쟁이 참혹한 것이라는 것은 머릿속으로 알고 있지만,주인공이 공격명령 중지를 전달하러 가는 과정까지의 이야기가 아름다웠다.암튼 쥐 조심하라.",9
898,별다른 내용도 없지만 연출과 영상미만으로도 대중을 사로잡을 수 있다는 것을 보여준 작품. 돈이 아깝지 않다.,8
899,웰컴투 동막골이랑 동급인 영화,1
900,솔직히 별로 재미 없어요.. 연출이 신선하긴 했어요,6
901,상을 이렇게 많이 받은데에는 다 이유가 있다,8
902,기대 안하고 봤는데 몰입감 최고이고 음악 연출 모두 역대급입니다!!!!,10
903,진짜 전례없던 인생 영화,10
904,,10
905,이래서 한국 영화를 못 본다,10
906,원테이크 촬영기술로 배우들의 감정이나 전쟁의 준위기가 고스란히 전해져 한순간 숨쉴수없을정도로 긴장되며 봤다,10
907,긴 호흡 별 다른 내용 감동은 없다 너무 정적이라 호불호가 많이 갈린만 하다,7
908,연출은 환상적이지만 영화의 스토리는 전쟁영화 소재의 한계 때문인지 부족한 면이 없지않아 있었다,8
909,큰 영화관에서 못봐서 아쉬움.. 덩케르크와는 또 다른 전쟁영화. 영화관에서 손에 땀을 쥐고 다리를 뒤틀며 봤다 으....,10
910,연출은 신선하나 전개는 뻔했다.,7
911,"영상,음향,연출 모두 공을 엄청 들였네요. 몰입감 대박..",10
912,"마지막 10분의 전율을 느끼게 해준, 오랜만에 엔딩 크레딧 다 보고 나온 영화",10
913,"전쟁의 공포와 그 속에서의 고독, 역경을 잘보여줌이게 영화다",9
914,최고다 진짜...어떻게 촬영한거지..,10
915,영화는 두번의 테이크로 우리를 1차세계대전으로 완벽하게 데려다 놓는다,10
916,매장면마다 전쟁속에 같이 있는듯 했고 도대체 어떻게 촬영을 했을지 궁금한 장면들이 너무 많은 올해 역작,10
917,"영상기법, 음향, 연출력, 배우들의 연기들이 보잘 것 없어보이는 스토리는 생각따위도 나지 않게 감정선을 완벽하게 살려내었고 잔잔하고도 강렬하게 전쟁의 참혹함이 그대로 다가왔습니다. 중반부에 독일군의 진지 내에서 추격...",10
918,영상으로 경험할 수 있는 전쟁의 단편으로 최고의 영화,9
919,"개인적으로는 공감 안되는 과장된 스토리보단 이런게 좋다. 쓰리빌보드, 노인을 위한 나라는 없다, 맨체스터 바이 더 씨. 분위기는 다르지만 아카데미를 이어오는 전반적인 분위기.",10
920,진짜 내가 아이디치고 평점적고있을줄은 몰랐지만 미친 작품이다.왜 코로나는 터져가지고 이 엄청난 작품을 고작 100만밖에 보지 못하였나.... 월드타워 롯데시네마에서  i max로 봤는데 그날 엄청난 강행군후에 매우 ...,10
921,재밌었구요..몰입도 짱이구요 그 유명한 카메라기법 저도 봤습니다^^,10
922,,10
923,기생충이 챙피하다.어떻게 상을 받은거지,10
924,"2번 보았고, 전쟁이 처참함과 아름다움을 잘 녹여내었습니다.",10
925,몰입감이 상당하다. 전쟁에 대한 지극히 주관적이고 개인적인 이야기가 심금을 울린다.,10
926,절대보지마라 이런OOO영화를 돈주고본게.후회된다,1
927,직접 플스 게임에 빠진 느낌이었어요 간만에 완벽한 점수로 주고싶은 영화네요 원테이크와 비슷해보이지만 다른 촬영기법이라고 들었는데 최고네요 무조건 IMAX로 보세요 두번보세요~!,10
928,개봉시기가 너무나도 아쉬운 영화.,8
929,몇몇장면의 임팩트가 나머지를 이끄는 느낌,8
930,가장 사실적인 전쟁영화가 바로 반전영화라는것을 알게되었다.,10
931,나만보기는 억울하다 ! ㅋㅋ,10
932,과연 영화 한편을 원테이크로 찍는게 가능한가?,8
933,"맨처음 참호씬부터 독일군에게 쫓기는 씬, 맨마지막 병사들을 가로지르는 씬까지 원테이크 촬영기법은, 마치 같이 전쟁터에서 임무를 수행하는 느낌을 받았을만큼 대단했다 OST 역시 웅장하고 좋아서 영화관에서 돈내고 볼만한...",9
934,아니 근데 주인공 너무 안죽어. ㅋㅋ총알 다 피해 ㅎㄷㄷ마지막 앞으로 돌진하는 사람들 사이에서 뛰는 건 진짜 멋졌다.,7
935,1차대전은 참호전이란 글로만 본걸 웰메이드 영화로 볼 수 있음.(기병도 활약했던때라 상상이 잘 안됐음) 마지막에 베네딕트 컴버배치가 따란~나올때 잠시 장르변환을 느껴버림(I'm a little teapot),10
936,1917년 수많은 전령중 한명이라는게 소름 돋는다.,8
937,이 영화는 한마디로 표현하자면 이쁜 쓰레기라고 할 수 있다!  1차대전의 미장센은 훌륭하고 원테이크씬처럼 보이는 촬영기법은 흥미로웠다!  하지만 스토리는 1960년대 나올 법한 진부함에 놀랐음!  왜 나를 뽑았냐고 ...,6
938,와 이걸 어떻게 기생충이 이겼지? 촬영기법과 음악이 다해먹었네. 조금만더 여운남게 묵직한거 마지막에 생각할거리 더 던져줬으면 상 다 휩쓸었을듯,10
939,"진부한 전개는 정말 빡쳤지만, (장군만나러 가는데 최종관문이 발암캐릭이라든지, 사망플래그라든지)전쟁영화가 가지라는  가장 중요한 의의는 '전쟁을 하지 말아야한다'라는 생각이 관객의 머리에 박히는 거지,...",9
940,"내가 본 영화중에 '이건 영화관에서 봐야 돼'라는말이 가장 잘 어울리는 영화였다ㅠㅠ 영화관에서 못본다면 최소한 이어폰이라도 끼고 봐야하는 영화라고 생각될만큼 영화의 모든 음악,소리들이 사람을 엄청나게 ...",10
941,이거 재미있을듯 안봐돜ㅋㅋ,9
942,,10
943,지푸라기 이런거 보다는 훨씬 100배는 나은듯...감동적이다.,10
944,,10
945,한 병사의 가는 길을 나도 따라 움직였다.,7
946,"William Scofield. Will.스코필드 일병의 이름은 마지막에서야 밝혀진다.Will, 염원이라는 이름이었다.그가 이 모든 것을 가능케 했다.",9
947,"주인공의 사투는 처절하고, 뒤에 보여지는 배경은 처참하다.",8
948,영화관이 존재하는 이유라는 말에 너무 공감됨 진짜 끊김이 없이 혼자서 똥줄 타면서 어디서 총알 날라올지 긴장 하면서 배그 3d 하는 느낌,10
949,살아남고 또 살아가야 하는 나그네의 그 절실하고 외로운 발걸음에 건네는 담담한 위로.,10
950,이 영화의 유일한 단점은 '개봉 시기',10
951,,10
952,"액션,스토리 뭐하나 빠짐없이 완벽한 영화였다. 처음본 배우에 연기또한 완벽했다. 오이는 왜 나온지는 모르겠다. 거의 나오지않았다. 나같으면 오이를 없애고 주인공들에게 더 많은 돈을 줬을거다. 지금까지 본 전쟁영화 중...",10
953,촬영하는 사람은 유령인가?? 저방대한 실감나는 세트는 진짜인가?? 너무도 완벽하게 1917년4월로 빠져들게하네...,10
954,이거 어떻게 쵤영한거야??,10
955,기대보다는 별로 였습니다. 좀 전체적으로 잔잔하고 평이했던 느낌.그래도 기본 이상은 해주는,8
956,영상이 정말 깔끔함. 내용은 별게 없었지만 영상에서 커버쳐준 느낌.,3
957,1인칭 시점으로 보는듯한 기분. 연출이 굉장히 신선함,9
958,리얼로 이런 영화는 처음이다 1917년을 실제로 보여준 듯한 리얼리티 크~~ 감동 그자체이다,10
959,아끼는 속옷이었는데 아깝지 않습니다,10
960,1차대전의 모든것을 함축시켜 담아놓은 영화다. 세부적인 묘사들로 빼곡히 들어있어 놓칠부분이 없다.,10
961,전쟁영화를 종결시키러 온 듯 하다.,9
962,재밌게 봤습니다.강동적이기도 햐구요.,8
963,샷 한번이 매우 길다. 러닝타임동안 컷이 몇번 안됨. 어떻게 원 샷으로 저정도까지 찍었는지... 진짜 경의로울 정도임. 그래서 더욱 현실감있다. 갠적으로 봤던 전쟁영화 중 가장 전투씬이 없으면서도 긴장감은 최고였던 ...,10
964,정말정말 분위기와 영상미가 좋네요! 좋은 영화 봤습니다!!,10
965,연출 연기 영상 모두 흠 잡을 곳 없다,10
966,와 전쟁 영화가 아름답다니,10
967,음악이 너무 과한부분이 많았습니다. 그부분이 젤 아쉽고. 아카데미에서 작품상을 놓칠만 했다는 생각이 들긴합니다. 주제적으로 조금 아쉽긴 했어요. 이 두분 때문에 1을 빼고 9점 줍니다.,9
968,오랜만에 몰입할 수 있었던 영화... 영상미 그 자체가 스토리이다.,10
969,촬영 기술이 정말 대단하다..마치 나도 저 순간 군인이 되어 주인공을 따라가는 느낌이 들게끔 한다 마지막 장면은 진짜 극장에서 보길 너무 잘했다는 생각이 든다,10
970,,10
971,굿입니다아아주아아쥬,10
972,2020외국영화재미있어요하고싶어요안될까요제발보내드립니다!네,10
973,이 영화는 영화관에서 봐야지만 정말 크게 와닿음... 너무좋았어요. 솔직히 전개는 누구나 예상 가능한데 그걸 풀어가는 능력이 매우 굉장함. 안 울려고 노력했지만 몇 방울 흘리고 왔네요.,10
974,핵소고지 덩케르크 이어 영화관에서 봐야할 전쟁영화 아카데미에서 상 많이탄 이유가 있음,10
975,전쟁영화를 어떻게 보여줘야 되는지 정석을 봤다 제발 극장가서 봐야 하는 영화이니 당장 보러 가시길 추천합니다,10
976,So what? 별거읎다...,8
977,재미있게 봤습니다.,9
978,영화를 잘 만들긴 했다. 그런데 이 정도 영화를 감히 기생충과 비교하며 아카데미 작품상 운운했다는 게 조금 어이가 없다. 스토리 자체부터 억지스럽다. 몇백 미터 앞의 독일군들이 작전상 철수한 것을 지휘관이 알게되고 ...,6
979,킹스맨이  닥터스트레인지에게 보내는 메세지,10
980,"롱테이크샷 촬영기법 넘 신기했고, 감동적임",8
981,지루하고 노잼. 전쟁영화 보다가 졸리다니..,2
982,롱테이크의 진수.,8
983,"아니, 기생충이 감독,작품상?  못본걸로하자 ㅜㅠ 1917이 영화에게로 돌아갔어야할  상임",10
984,버드맨 이후로 최고의 롱테이크신을 보았습니다,10
985,와...진짜 엄청난 대작을 보고 왔음...기회가 되시면 영화관에서 보시길 추천...,10
986,롱테이크? 원테이크? 와..몇걸음 뒤에서 같이 따라다니는 느낌이다..박진감 넘치는 전쟁씬이나 폭발씬이 많지 않지만 몰입도는 상당히 훌륭했다 최고다,9
987,"웅대한 작전이나 삐까뻔쩍한 무기들, 전쟁영웅없는 전쟁영화다보니 진짜 소름끼치게 전쟁이 무섭구나라는 걸 느꼈다. 최근 개봉한 미드웨이랑은 전혀 다른 느낌의 영화",9
988,마지막에보니까.엄마가 사망플레그 오지게 꽂아넣었드만 ;꼭돌아와야한다!!! 아들아!!!,8
989,스토리는 다소 약해서 다른 전쟁 영화들과 비교되지만 오히려 이 영화에서 추구하는 점이 무엇인지 확실하게 보여줘서 정말 좋은 시간이었습니다.,10
990,아름다운 영상에 대비되는 전쟁의 현장 마치 그곳에 같이 있는 것 같음,10
991,떠오르는 태양은 전쟁의 허무함을 극대화 시킨다.,10
992,다른말 필요없이 잘만들었네요,10
993,괜찮았습니다 보시면 후회는 없으실듯,9
994,지루한 순간이 없었다. 탄탄한 연출과 카메라 동선 그리고 음악이 조화로웠다.,10
995,아이맥스로 볼걸 으엉헝ㅠㅠ,8
996,군필자 너무 몰입해서 봐서 내가 주인공 된 거 마냥 살았다 하고 눈물났다...,10
997,이것이 영화다!!!!,10
998,재미는 없을수도 있다. 실제느낌 나게 담백하게 담아낸 영화이기 때문이다. 하지만 거기서 느낄수있는 리얼리티와 감동은 단점을 모두 상쇄시킬만큼 강했다.,10
999,"기생충도 미쳣지만 이것도 진짜 미쳤다...보는 내내 집중이 안됬는데 ""어떻게 찍은거지?"" 의 반복...작품상 따도 이상할게 없네...",10
1000,"이 영화도 선호도가 꽤 갈릴 듯 하네요. 전 솔직히 전쟁영화라 기대 안하고 맘 놓고 봤는데 너무 좋았습니다. 특히, 윌리엄 스코필드가 공격중지 명령을 전하기 위해 갖은 생고생하며 가는 여정을 잘 그려낸 것 같습니다....",10
1001,영화는 정말 수많은 사람들의 노력과 열정으로 만들어진다는 걸 다시한번 느끼게 해준 영화. 언제나 새로운것들과 도전적인 생각들이 떠오르지만 그걸 실현한 영화. ost부터 연기 영상 모든게 나는 그것에 있다고 느끼게 해...,10
1002,배그를 2시간 하고 나온것 같다,8
1003,영화의 흡입력이 대단해서 나도 전쟁터에 있는 기분이 들었다,10
1004,포를 피해 달려가는 장면은 잊을수없다,10
1005,이게 재밌다고? 제대로 된 전쟁씬 하나 없는데??,1
1006,,10
1007,쓰레기 같은 평점 테러자들 때매 평점 등록한다.,10
1008,아이맥스에서 보세요 일반 극장 스크린이랑은 차원이 다름,10
1009,겉에서가 아닌 그 안에서 느껴지는 전쟁...,9
1010,나만 배틀필드 생각납니까아?!,10
1011,로저 디킨스의 유려한 촬영에 서사가 끌려간다. 아카데미 작품상을 받지 못한 이유.,8
1012,전쟁영화의 마스터피스,10
1013,전쟁영화중 최고일지도,10
