,리뷰,평점
68,"장점 : 훌륭한 연출 ,구도 특히 불타는 수도원에서 시각적인 효과가 일품 단점 : 부실한 개연성, 다소 허무한 결말 그리고 전반적으로 좀 지루함극장에서 보는게 나음 집에선 이거보려다 예능킴",6
69,중반은 약간 지루했지만마지막에 사람의 목숨을 구하기 위해 혼신의 힘을 다해 달리는 모습이 레전드,8
70,"전날 호텔뭄바이를 봐서 그런지....호텔뭄바이는 너무 긴장되고 무서워서 꺼버리고 싶을 정도였는데, 기대가 컸었나 봄.영상미와 고증, 롱테이크 촬영기법이 너무나 대단하다는 생각은 들었으나, 관객입장에서 강력한 클라이막...",7
71,영화의 처음과 끝은 원테이크 샷으로 찍어 주인공을 따라가는 영화의 시점이 전쟁의 현장을 바로 옆에서 보는 듯한 현실감을 제공,10
72,"좋은 작품이고 뛰어난 연출력과 촬영, 적절한 ost까지 수작이긴 하나 아카데미 작품상을 넘보기엔 조금 심심하지 않나 싶음 그래도 정말 재밌게 잘 봤다",7
73,,10
74,"내 인생 최초로 영화관에서 2번 본 영화,,2D로 보고 IMAX로 다시 보고싶어서 1시간 걸려서 갔는데후회하지 않을 선택이었다",10
75,한국에 신파가 있다면 미국엔 전쟁파가 있다.똑같은 전쟁영화 돈주고 봤다,6
76,이영화를 잘만들었단 사람들은 대체 영화를 어떻게 본거야?교전상황들 진짜 허접해서 못봐주겠다 10미터도 안되는 거리에서 쫒아가면서 총으로 맞추지못하질않나 전시에 상대편에 적이 오고있는데 서로 멀뚱멀뚱 쳐다보다 한참지나...,1
77,하루가 일년처럼 느껴질 격동의 시간을 경험하다.,8
78,꼭 보세요!! 추천이요,10
79,롱테이크로 계속 긴장되는 분위기를 이끌며장소장소마다 부여되는 수많은 의미들을 깨닫지 못하면 지루한 영화일뿐 그냥마냥 때려부수고 우당탕 하는게 좋으면 유치찬란 트랜스포머나 보시길,10
80,전쟁은 그 어떤 아름다움도 남겨놓지 않는다.,10
81,"태극기 휘날리며, 고지전이 더 나은 거 같은데...호불호가 확연히 갈릴 것 같음 . . . 그래서 별점도 딱 반. . .5개",5
82,평범한 음식점에서 먹을 수 있는 보통 음식을 고급 호텔에서 먹는 느낌..,6
83,,9
84,"솔직히 기생충이 아니라 1917이 상을 받았어야 했다. 기생충 보고는 감동 그런 건 전형 느껴지지 않았고, 사회계층을 비판하는 단순한 감정밖에 느껴지지 않았는데, 1917은 영화를 보고 느껴지는 먹먹한 감동이 느껴진...",9
85,"진짜 미쳤다. 엄청나게 공들여 만든 도미노 랄까. 연기, 세트, 카메라 워크... 도대체 이 모든걸 어떻게 한거지.. 그야말로 예술의 경지!!",10
86,대구라 어쩔수 없이 집에서 봤는데. 코로나 끝나면 재개봉 부탁드립니다.,10
87,인생을 돌아보는 영화입니다!,10
88,코로나 때문에 많은 사람들이 이 명작을 못본다는게 너무 아쉽다.,10
89,영화 보는내내 빨려들어가는 느낌. 어지간한 공포영화보다 더 긴장됨.,10
90,ㄴㅈ노재미극노재미 ㅂㅈ마,2
91,오로지 연출만 뛰어나고 그 외에는 별볼 것이 없다.,6
92,"실망이다. 어찌 연출을 이리 했을까... 감동도 없고, 진부하며, 어거지로 짜맞춘... 10점을 주신 분들이 상당히 많던데, 나로선 이해불가 한 일이다. 이래서 영화 평점은 다 믿을게 못되나보더. 돈과 시간만 날렸다...",2
93,너무 감동적이다 꼭 보시길 바랍니다,10
94,정말...이렇게 여운이 많이 남는 영화가 오랜만이였어요! 세계대전에 대해서도 많은걸 느끼게해주고 주인공의 그 고달프고 절절한 감정들이 너무너무 잘 느껴지는 영화였어요! 이 영화는 영상미가 너무 이쁘고 연기나 스토리가...,10
95,"군인의 신분으로 본 영화라 더 기억에 남았다. 전투 위주의 전쟁 영화의 틀에서 벗어나 인물 한 명의 감정이나 심리를 잘 묘사해서 보는내내 감정이입이 너무 잘 된 것 같았다. 마지막 장면은 여러 생각이 들더라, 눈물도...",10
96,전쟁은 일어나면 안된다는 걸 보여준 영화,10
97,촬영 특히 초반 후반 나오는 롱테이크는 어떻게 찍었나 의문이 갈 정도로 기가막히네 (촬영 기법을 알고 더 놀랍다는) 스토리도 감동적이구,10
98,,10
99,재미와 감동과 긴장감이 많고 매우 잘 만든 영화입니다급 추천합니다왕 재밌습니다,10
100,전쟁은 일어나면 안된다... 그러나 일어난다면  전우를 위해 최선을 다하여 싸워야한다. 스코필드가 1600명의 몰살을 막은 것처럼,10
101,소년이 전하려 했던 것은 무엇이었나.,9
102,마지막 주인공이 나무에 앉아 카메라 바라보는 장면은 근래 본 영화중 최고의 엔딩. 영화가 아닌 전쟁 속의 한 남자로 바라본 꾸밈없는 엔딩.,10
103,반드시 영화관에서봐야함,8
104,,10
105,촬영이랑 영상미는 있었지만 스토리는 꽝이다우리나라 영화보다 스토리가 별로인 것 같다너무 임팩트 없이 밋밋한 느낌,2
106,집에서 본 게 아쉬울정도입니다. 이건 극장가서 봐야합니다,10
107,"롱테이크영화의 최고봉으로 남을 작품임에는 틀림없지만, 그 롱테이크로인해 스토리전개나 긴장감은 떨어짐. 작품상타기엔 각본이 많이약함. 전투기타고가서 연락하면 되겠던데?",8
108,"오늘 보고왔는데 박진감, 연출미쳤네요",10
109,,10
110,이다지도 담담한 전쟁영화가 있었나,10
111,,8
112,롱테이크는 다른 시나리오로...전쟁 은 지겹다. 감동재미가 없어.  세트 가 너무 구려  조잡허게 만든티가 너무남. 닷  트로피중 반은 기생충이 받앗어야함.마지막에 오스카 받아서 휴  다행..,4
113,"감탄에 감탄,최고의 최고,현실적인 느낌을 받게했다 다른영화는 무표정일관이다 그러나 이작품만은 다르다 내표정이 움직이는것을 나도 느꼈다 이입최고",10
114,ㅈ노잼 알바년들 존명쎄각,2
115,모든면에 압도적인 전쟁영화가 나온거같다.,10
116,올 최고의 영화..아카데미 작품상 받았어도 누구하나 뭐라할 사람 없을듯..기생충은 운이 좋았다..,10
117,이영화를 영화관에서 못본게 너무 아쉽다....,10
118,코로나 사태만 아니었다면 관객수 700만명은 노려볼 수 있을 법한 작품,10
119,핵노잼...딱히 어떤 감동이 하나도 없이 약 2시간이 허무하게 끝남 차라리 미드웨이가 낫다.,2
120,이거 미쳤다 레알 재밌어요 ㅎㅎㅎㅎ,9
121,지루하진 않지만... 사실 특별히 감동적이랄 것도 없다... 단순 지령 수행 과정을 밀착 촬영한 느낌...,8
122,,9
123,진짜 전쟁의 허무함을 잘 나타낸 영화.아무리 지치게 뛰고 총을 쏘고 총에 맞고 승리를 했다고 해도 마지막 장면같이 허무한 느낌만 들뿐상상만 하던 전쟁의 참혹함을 눈으로 보여준 영화,10
124,와 진짜 극장값이 안아까워요 진짜 꼭 봐야함,10
125,많은전쟁영화 드라마를 봤지만  글쎄.. 이렇게 극찬을 받을 영화라고는 전혀 생각이 안됨 1점짜리는 아니지만 평점이 너무 터무니 없이 높아서 1점줌. 총사이로 막가 주인공은 뭐 늘상있는 뻔한 내용이지만 아니 아무리 그...,1
126,스코필드와 함께 전쟁터 한복판에 있는 기분을 느끼게 해준 품격있는 전쟁영화.,10
127,이영화는 꼭 극장에서봐야함!보는내내긴장감쩔었음.,10
128,덩케르크는 예고편이었네,10
129,조금 지루했음. 전쟁의 아픔은 느낄수 있었지만... 액션씬도 별로 없네요.,6
130,제목 뜻이 네이버 평점 알바 수인듯,1
131,감독은 계획이 다 있구나?,10
132,그 현장에 마치 내가 존재하는 것 같은 생동감이 넘쳤음. 예고편을 안보고 관람하러 간 지라 전쟁영화인데도 불구하고 액션신이 다소 부족해서 아쉬웠음..,10
133,촬영기법이 신선해서 영화판 배그 하는 기분이였습니다 그만큼 몰입도와 긴장감이 높았던 작품이에요 스토리는 다이나믹하진않고 조금은 현실적으로 잔잔하게 흘러갑니다 주인공이 홀로 달리는 장면과 숲속에 울려퍼지는 노래는 쫒기...,6
134,촬영 음향 연기 3박자를 만족시키는 2019년 최고의영화중 하나,7
135,이걸 도대체 어떻게 찍은거야?,10
136,코로나..개객ㄲ 1 이건 더많은 사람이 극장에서 봐야만해..!!! 근데 이 영화속 오이는 못생긴 오이..ㅋㅋ,10
137,앞으로 영화사에서 카메라 기법에 관해서 설명하고자 할 때 반드시 언급 되어야 할 영화 중 하나,10
138,뭐냐 이거... 얼빠질 정도로 최고다. 근래 본 최고의 영화다. 전쟁의 스산함과 인물의 긴장감이 영화 내내 고조된다. 너무 인상깊다.,10
139,,10
140,롱테이크로 풀어내는 전쟁의 참혹함과 희망,9
141,불변의 법칙! 꼭 얼굴 하얀데 볼 붉으스럼 하고 통통한 체형이면 맘 여려서 일찍죽음,8
142,격한 전투씬이 없는데도 지루하지 않고 주인공의 감정선이 잘느껴지는 영화였음. 또 요즘 양산형 영화들과는 다른 느낌을 오랜만에 받아볼 수 있다는 점이 괜찮았음.,10
143,새로운 유형의 몰입도 최강 전쟁영화,10
144,감정이 전달이 아닌 전이되어 머리 쥐어 뜯고 오열하며 본 작품,10
145,와 ... 어떻게 한거죠?,6
146,배우들의 표정연기가 이렇게 슬플 수 있나 싶었다,10
147,물리적인 충격만,8
148,처음으로 네이버 영화에 촬영감독란은 왜 없는지 궁금했던 작품,10
149,,10
150,그냥 평범한 전쟁영화라고만 생각하고 아무것도 모르는채로 가길 잘했다는생각이 들어요!!,10
151,이건 관람이 아니라 체험이라고 해야 맞다,9
152,시작부터 끝까지 지루함없이 본것같다 코로나만 아니면 엄청흥행했을듯한데 아쉽긴하네,10
153,"Ptsd 간접체험 3대작블랙호크 다운, 덩케르그, 1917",9
154,"연출,영상은 좋으나 내용이 영..극장에서 몇명 없었지만 나 빼고 다 숙면모드ㅠ",4
155,"전쟁영화라서 액션신을 좋아하는 사람으로 많은 기대를 했는데 놀라웠던건 세트, ost, 원테이크같은촬영기법.. 그런 것들.. 액션을 기대하고 가는 사람들은 실망할 것이다. 왜 아카데미에서 상을 많이 받은 지는 바로 느...",6
156,와 오랜만에 처음부터 끝까지 긴장감가자고 봤음;;,10
157,끝없는 롱테이크의 향연,10
158,20세기 초 횡행하던 제국주의와 국가주의에 휘둘리던 서민들의 고통이 고스란히 녹아있는 작품.,10
159,촬영기술이 발전한다고 좋은 영화가 나오는건 아니다..,6
160,영상미. 몰입감. 연기력 다 좋음.마지막 엔딩이 미약해서 1점 뺐음.죽기살기로 뛰었는데 급 마무리~,9
161,오로지 직진뿐인 전쟁놀이..왜 싸워야 하고 왜 죽어야 하는지도 모르고 전쟁하는 인간군상이 슬프기까지 하네요..볼만해요,7
162,원 컨티뉴어스 숏 기법의 정수,9
163,요즘 코로나때문에 영화관에 상영하는것도없고 자동차극장에서도 시간이 다 애매해가지고 어쩔수없이 이거봤는데 꿀잠 ㅋ 계속 걷고 걷고 걷다가 다치고 죽고 난리고..,1
164,재미없음 ㅡㅡ진짜로'~~~,2
165,저는 별로 였어요 지루함,3
166,...와.... 말이 안나온다 진짜 재밌게 봤다...,10
167,완벽한 연출. 스토리가 아주 짜임새 있고 흥미진진한 것도 아닌데 몰입도가 높은 영화!,8
168,와 스토리 연출 ost 다 엄청 감동적이고 연기도 정말 엄청난 연기 .. 이 영화보고 조지 입덕했습니다,10
169,"솔직히 문제 해결방법은 동의를 못하겠음그당시 지식으로는 당연하다면 고증이 뛰어난거겠지만보면서 답답하다 느끼거나 왜 저러지 싶은 구간도 있었음그 외에 촬영기법이나, 평소 국내서는 보기 힘든 모습 등등을 보면별것 아닌것...",9
170,"달리는 씬 등장 직후 영화관에서 자세 고쳐 앉고 영접했습니다.조지 맥케이 뜰 것 같네요. 얼굴 분위기에 연기력까지 나랑 동갑이네! 92년생, 앞 길을 응원합니다!",9
171,내가 아는 배우들이 중간 중간 계속 나와서 찾는 재미도 있듬,10
172,또보고싶어요,10
173,몇년만에  영화다운 영화를 본 것 같다.,10
174,영화로  느낄 수 있는 최대한도의 리얼리티,10
175,지극히 개인적인 것에서 완벽히 이타적인것을 행하기까지의 여정. 여정에서 가장 중요한건 동행이 아니라 동기였다.,10
176,전쟁영화치고 재밌게 봤습니다. ㅠㅠ  영상미도 좋고 숨막힌 긴장감도 느껴져서 좋았어요,9
177,영화 욕하는게 아니라... 진짜 좀 알려주세요왜 평점이 높은거죠?,3
178,이게 평점 말이되나... 진짜 평점 알바 심각하네  그냥 편지 갖다주는 아무내용 없는 영화인데...  절대 돈주고 보지마세요. 그리고 이딴 영화가 아카데미 시상식에서 기생충하고 다퉜다는게 말이안된다. 진짜 시간버린 ...,1
179,,10
180,요즘 처럼 수익만 쫓아 공장에서 막 찍어내는 영화 속에서 홀로 빛나는 ‘영화’다.,10
181,영화관에서 안 본 게 후회스러움,10
182,아무내용 없음 핵노잼임,1
183,전쟁 영화는 너무 많다. 하지만 이 영화는 그런 영화가 아니었다.,10
184,미친 영화 영화속에 빨려들어갈거같다 명작,10
185,처음부터 끝날때까지 원테이크 촬영. 내가 직접 전장에 나가 있는듯한 생생함. 긴장감을 늦출수가 없다.,10
186,"연출,연기,OST 모든게 완벽했고 번역까지 완벽했던 최고의 전쟁영화.영화보는 내내 몰입감 최대치에 정점을 찍고 어느새 주인공과 목적지까지 같이 뛰고있는 나를 발견했다..",10
187,홍보댓글그만좀?하세요ㆍ지루하고재미없슴?,1
188,"마음은 먼곳에, 전쟁은 눈앞에",9
189,평점이 알바가 존재하네요그냥 3점정도가 적당함. 루즈해요,4
190,돈아까움 내용이 없다.계속 전쟁인데 급한통보건을가지고 길찾아가는 군인 이야기였음....,1
191,코로나때문에 묻히기 너무나 아까운 영화네요 보는내내 긴장되서 숨이안쉬어져요  그냥 전쟁액션영화를 좋아하시는 분들은 지루하실것 같아요,10
192,이 영화 보실 때 산소호흡기 꼭 지참하고 보세요.. 숨 못쉽니다 진짜로.. 영화 다 끝나고 제일 먼저 든 생각이 뭐야 왜 벌써 끝나?였습니다.. 러닝타임 2시간 정도인데 ㄹㅇ 50분 본것 같았어요 ㄹㅇㄹㅇ;; 막 엄...,10
193,다들 이 시국에 극장 간 흑우 없죠,8
194,왜 평점이 높지? 전쟁영화치고는 별로 감동적이지 않은데... 액션도 없고...처음으로 만원 질렀는데.. 만원주고 보기엔 매우 아까움,6
195,"전보를 전하러 간 건 두 명이 아니라 세 명이었다. 블레이크, 스코필드, 그리고 나... 라이언 일병 구하기의 아성을 무너뜨리고도 남는다.",10
196,라이언일병구하기랑 많이 비교됐다.라일병은 미국선전을 위해서 였다면 1917은 그런 시선이 없어서 더 좋았다.세트도 괜찮앗지만 그걸 사실적으로 보이게했던 연기가 참 괜찮았다.,10
197,여럿이 서로 싸우고 죽이는 모습만 보여주는 진부한 전쟁영화보단 훨씬 낫다. 생사를 오가는 전쟁 속에 몰입할 수만 있다면야 스토리가 뭐가 중요하겠는가. 주인공이 손을 다치면 내 손도 쓰려왔다. 뛰어난 연출은 영화에 빠...,8
198,"영상미는 탁월하다. 20세기 초의 의상, 건물, 군복 등 디테일이 뛰어나다. 그러나, 스토리가 약하다. 2시간동안 참고 보기 힘들었다. 마지막 장면은 그런대로 좋았다. 망작은 아니라서 7점 준다.",7
199,처음부터 끝까지 집중이 너무 잘 되서 이틀이 지났는데도 생생하게 기억이 나는 영화 주연배우 연기 생생감있게 너무 잘하고 안정적인 스토리에 중간중간 긴장감 있는 장면들까지 코로나만 아니였으면 훨씬 잘 됬을 영화,10
200,평점이 너무 높아서 기대가 커서였는지 그냥 그랬음. 내용 자체는 허무함. 주인공 혼자 원맨쇼 형식. 재미를 추구하는 사람이라면 지루함을 느낄듯. 다른 전쟁영화들과 비교해도 이게 딱히 더 좋은 작품인지 모르겠음.,7
